Agreement,RTA_ID,WB_ID,Date_EIF_G,entry_year,treaty_vintage,missing_index_count,missing_indices
EFTA - Türkiye,1176,393,2021-10-01,2021,2015–2023,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
India - Mauritius,517,322,2021-04-01,2021,2015–2023,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
Ukraine - Israel,1147,390,2021-01-01,2021,2015–2023,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
Indonesia - Australia,546,324,2020-07-05,2020,2015–2023,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
Peru - Australia,1032,349,2020-02-11,2020,2015–2023,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
Chile - Indonesia,906,340,2019-08-10,2019,2015–2023,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
Peru - Honduras,749,332,2017-01-01,2017,2015–2023,11,inbest_soc_reg; invest_DS; invest_lib; invest_protect; invest_scop_def; invest_transparency; RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
EFTA - Georgia,953,345,2017-09-01,2017,2015–2023,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
EU - Colombia and Peru - Accession of Ecuador,907,341,2017-01-01,2017,2015–2023,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
El Salvador - Ecuador,1048,350,2017-11-16,2017,2015–2023,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
Southern Common Market (MERCOSUR) - Egypt,722,331,2017-09-01,2017,2015–2023,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
Southern Common Market (MERCOSUR) - Southern African Customs Union (SACU),752,333,2016-04-01,2016,2015–2023,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
"Türkiye - Moldova, Republic of",931,343,2016-11-01,2016,2015–2023,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
"Korea, Republic of - New Zealand",643,266,2015-12-20,2015,2015–2023,41,export_NTM; export_admin_fee; export_agriculture; export_coo; export_invest; export_licensing; export_quota_qr; export_taxes; IPR_Gis; IPR_NT; IPR_TMs; IPR_biodiversity_TK; IPR_coordination; IPR_copyright; IPR_country_designations; IPR_data_protect; IPR_enforcement; IPR_exhaustion; IPR_industrial_designs; IPR_patents; IPR_transparency; IPR_treaty_accession; IPR_treaty_incorporation; TBT_DS; TBT_conformity_assess; TBT_cooperation; TBT_framework; TBT_standards; TBT_tech_reg; TBT_transparency; TFC_border_efficiency; TFC_cooperation; TFC_fees; TFC_origin_admin; TFC_procedural_simplification; TFC_transparency; VA_DS; VA_coverage; VA_exc; VA_framework_gov; VA_movement_facilitation
Mexico - Panama,779,274,2015-07-01,2015,2015–2023,6,TFC_border_efficiency; TFC_cooperation; TFC_fees; TFC_origin_admin; TFC_procedural_simplification; TFC_transparency
Chile - Thailand,684,330,2015-11-05,2015,2015–2023,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
Central American Common Market (CACM) - Accession of Panama,878,339,2013-05-06,2013,2005–2014,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
Southern Common Market (MERCOSUR) - Israel,521,323,2009-12-23,2009,2005–2014,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
Nicaragua - Chinese Taipei,671,166,2008-01-01,2008,2005–2014,5,VA_DS; VA_coverage; VA_exc; VA_framework_gov; VA_movement_facilitation
GUAM,620,327,2003-12-10,2003,Before 2005,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
Southern African Development Community (SADC),45,95,2000-09-01,2000,Before 2005,10,serv_DR; serv_exc; serv_market_access; serv_mobility; serv_other; serv_roo; serv_safeguard; serv_struc; serv_transparency; service_DS
Eurasian Economic Community (EAEC),106,41,1997-10-08,1997,Before 2005,15,serv_DR; serv_exc; serv_market_access; serv_mobility; serv_other; serv_roo; serv_safeguard; serv_struc; serv_transparency; service_DS; VA_DS; VA_coverage; VA_exc; VA_framework_gov; VA_movement_facilitation
Ukraine - Russian Federation,580,325,1994-02-21,1994,Before 2005,24,CP_cooperation; CP_exeptions; CP_framework; CP_objectives; CP_procedural_fairness; CP_substantive; PP_DS; PP_Overview; PP_coverage; PP_new _issues; PP_non_discrim; PP_procedural_disciplines; PP_transparency; RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification; TFC_border_efficiency; TFC_cooperation; TFC_fees; TFC_origin_admin; TFC_procedural_simplification; TFC_transparency
Russian Federation - Tajikistan,834,219,1993-04-08,1993,Before 2005,8,export_NTM; export_admin_fee; export_agriculture; export_coo; export_invest; export_licensing; export_quota_qr; export_taxes
Namibia - Zimbabwe,413,319,1993-04-30,1993,Before 2005,5,RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
EU - Armenia,849,338,NA,NA,NA,11,inbest_soc_reg; invest_DS; invest_lib; invest_protect; invest_scop_def; invest_transparency; RoO_additional_flex; RoO_certification; RoO_sourcing_flex; RoO_value_content; RoO_verification
