exporter_iso3,importer_iso3,lost_dyad_years
AUT,PSE,27
BEL,PSE,27
DEU,PSE,27
DNK,PSE,27
ESP,PSE,27
FIN,PSE,27
FRA,PSE,27
GRC,PSE,27
IRL,PSE,27
ITA,PSE,27
LUX,PSE,27
NLD,PSE,27
PRT,PSE,27
PSE,AUT,27
PSE,BEL,27
PSE,DEU,27
PSE,DNK,27
PSE,ESP,27
PSE,FIN,27
PSE,FRA,27
PSE,GRC,27
PSE,IRL,27
PSE,ITA,27
PSE,LUX,27
PSE,NLD,27
PSE,PRT,27
PSE,SWE,27
SWE,PSE,27
CHE,PSE,25
ISL,PSE,25
NOR,PSE,25
PSE,CHE,25
PSE,ISL,25
PSE,NOR,25
GBR,PSE,24
PSE,GBR,24
CYP,PSE,20
CZE,PSE,20
EST,PSE,20
HUN,PSE,20
LTU,PSE,20
LVA,PSE,20
MLT,PSE,20
POL,PSE,20
PSE,CYP,20
PSE,CZE,20
PSE,EST,20
PSE,HUN,20
PSE,LTU,20
PSE,LVA,20
PSE,MLT,20
PSE,POL,20
PSE,SVK,20
PSE,SVN,20
SVK,PSE,20
SVN,PSE,20
PSE,TUR,19
TUR,PSE,19
RUS,SRB,18
SRB,RUS,18
ALB,MNE,17
ALB,SRB,17
BGR,MNE,17
BGR,PSE,17
BIH,MNE,17
BIH,SRB,17
MDA,MNE,17
MDA,SRB,17
MKD,MNE,17
MKD,SRB,17
MNE,ALB,17
MNE,BGR,17
MNE,BIH,17
MNE,MDA,17
MNE,MKD,17
MNE,ROU,17
MNE,SRB,17
PSE,BGR,17
PSE,ROU,17
ROU,MNE,17
ROU,PSE,17
SRB,ALB,17
SRB,BIH,17
SRB,MDA,17
SRB,MKD,17
SRB,MNE,17
AUT,MNE,16
BEL,MNE,16
CYP,MNE,16
CZE,MNE,16
DEU,MNE,16
DNK,MNE,16
ESP,MNE,16
EST,MNE,16
FIN,MNE,16
FRA,MNE,16
GRC,MNE,16
HRV,MNE,16
HRV,SRB,16
HUN,MNE,16
IRL,MNE,16
ITA,MNE,16
LTU,MNE,16
LUX,MNE,16
LVA,MNE,16
MLT,MNE,16
MNE,AUT,16
MNE,BEL,16
MNE,CYP,16
MNE,CZE,16
MNE,DEU,16
MNE,DNK,16
MNE,ESP,16
MNE,EST,16
MNE,FIN,16
MNE,FRA,16
MNE,GRC,16
MNE,HRV,16
MNE,HUN,16
MNE,IRL,16
MNE,ITA,16
MNE,LTU,16
MNE,LUX,16
MNE,LVA,16
MNE,MLT,16
MNE,NLD,16
MNE,POL,16
MNE,PRT,16
MNE,SVK,16
MNE,SVN,16
MNE,SWE,16
NLD,MNE,16
POL,MNE,16
PRT,MNE,16
SRB,HRV,16
SVK,MNE,16
SVN,MNE,16
SWE,MNE,16
BGR,SRB,15
ROU,SRB,15
SRB,BGR,15
SRB,ROU,15
AUT,SRB,14
BEL,SRB,14
CHE,SRB,14
CYP,SRB,14
CZE,SRB,14
DEU,SRB,14
DNK,SRB,14
ESP,SRB,14
EST,SRB,14
FIN,SRB,14
FRA,SRB,14
GRC,SRB,14
HUN,SRB,14
IRL,SRB,14
ITA,SRB,14
LTU,SRB,14
LUX,SRB,14
LVA,SRB,14
MLT,SRB,14
MNE,TUR,14
NLD,SRB,14
POL,SRB,14
PRT,SRB,14
SRB,AUT,14
SRB,BEL,14
SRB,CHE,14
SRB,CYP,14
SRB,CZE,14
SRB,DEU,14
SRB,DNK,14
SRB,ESP,14
SRB,EST,14
SRB,FIN,14
SRB,FRA,14
SRB,GRC,14
SRB,HUN,14
SRB,IRL,14
SRB,ITA,14
SRB,LTU,14
SRB,LUX,14
SRB,LVA,14
SRB,MLT,14
SRB,NLD,14
SRB,POL,14
SRB,PRT,14
SRB,SVK,14
SRB,SVN,14
SRB,SWE,14
SRB,TUR,14
SVK,SRB,14
SVN,SRB,14
SWE,SRB,14
TUR,MNE,14
TUR,SRB,14
GBR,MNE,13
ISL,SRB,13
MNE,GBR,13
NOR,SRB,13
SRB,ISL,13
SRB,NOR,13
CHE,MNE,12
ISL,MNE,12
MNE,CHE,12
MNE,ISL,12
MNE,NOR,12
NOR,MNE,12
GBR,SRB,11
HRV,PSE,11
MNE,UKR,11
PSE,HRV,11
SRB,GBR,11
UKR,MNE,11
AGO,SSD,5
BDI,SSD,5
BFA,SSD,5
BWA,SSD,5
CAF,SSD,5
CIV,SSD,5
CMR,SSD,5
COD,SSD,5
COG,SSD,5
COM,SSD,5
CPV,SSD,5
DJI,SSD,5
DZA,SSD,5
EGY,SSD,5
ETH,SSD,5
GAB,SSD,5
GHA,SSD,5
GIN,SSD,5
GNB,SSD,5
GNQ,SSD,5
KEN,SSD,5
LBR,SSD,5
LBY,SSD,5
LSO,SSD,5
MAR,SSD,5
MDG,SSD,5
MLI,SSD,5
MOZ,SSD,5
MRT,SSD,5
MUS,SSD,5
MWI,SSD,5
NAM,SSD,5
NER,SSD,5
NGA,SSD,5
RWA,SSD,5
SDN,SSD,5
SEN,SSD,5
SLE,SSD,5
SOM,SSD,5
SSD,AGO,5
SSD,BDI,5
SSD,BFA,5
SSD,BWA,5
SSD,CAF,5
SSD,CIV,5
SSD,CMR,5
SSD,COD,5
SSD,COG,5
SSD,COM,5
SSD,CPV,5
SSD,DJI,5
SSD,DZA,5
SSD,EGY,5
SSD,ETH,5
SSD,GAB,5
SSD,GHA,5
SSD,GIN,5
SSD,GNB,5
SSD,GNQ,5
SSD,KEN,5
SSD,LBR,5
SSD,LBY,5
SSD,LSO,5
SSD,MAR,5
SSD,MDG,5
SSD,MLI,5
SSD,MOZ,5
SSD,MRT,5
SSD,MUS,5
SSD,MWI,5
SSD,NAM,5
SSD,NER,5
SSD,NGA,5
SSD,RWA,5
SSD,SDN,5
SSD,SEN,5
