RTA_ID,family_k8,family_k9,family_k10
999A2,1,1,1
583,2,2,2
127,3,3,3
661,2,2,2
50,2,2,2
49,2,2,2
47,2,2,2
51,2,2,2
437,4,4,4
42,4,4,5
994,1,1,1
438,4,4,5
176,5,5,6
169,4,4,5
1170,1,1,1
126,3,3,3
140,2,2,2
46,2,2,2
157,6,6,7
156,4,4,4
134,3,3,3
139,2,2,2
663,2,2,2
567,4,4,5
110,6,6,7
162,6,6,7
66,1,1,1
911,6,6,7
113,1,7,8
568,1,1,1
168,6,6,7
608,6,6,7
672,6,6,7
694,1,1,1
141,3,3,3
151,4,4,5
4,5,5,6
8,1,1,1
509,4,4,5
74,7,8,9
55,7,8,9
510,7,8,9
511,7,8,9
625,5,5,6
3,4,4,4
453,5,5,6
80,7,8,9
646,7,8,9
685,5,5,6
677,4,4,4
991,4,4,4
57,3,3,3
697,4,4,4
56,3,3,3
1034,4,4,4
664,4,4,5
496,4,4,5
649,7,8,9
755,4,4,5
579,2,2,2
121,3,3,3
983,3,3,3
1009,3,3,3
99,2,2,2
640,8,9,10
839,4,4,4
741,7,8,9
678,4,4,4
764,4,4,5
27,6,6,7
94,3,3,3
838,3,3,3
95,2,2,2
36,5,5,6
128,2,2,2
775,2,2,2
600,5,5,6
740,1,1,1
159,1,7,8
766,8,9,10
43,1,7,8
177,1,7,8
971,1,1,1
5,5,5,6
462,1,7,8
689,1,7,8
601,1,1,1
125,5,5,6
75,5,5,6
21,1,7,8
15,5,5,6
79,1,7,8
765,1,1,1
96,5,5,6
88,5,5,6
101,5,5,6
178,1,7,8
954,1,1,1
621,5,5,6
603,5,5,6
65,1,7,8
37,5,5,6
129,5,5,6
604,1,7,8
2,5,5,6
881,2,2,2
527,7,8,9
12,3,3,3
18,5,5,6
109,2,2,2
564,3,3,3
680,5,5,6
619,8,9,10
605,8,9,10
676,8,9,10
33,8,9,10
692,8,9,10
623,5,5,6
469,5,5,6
1148,5,5,6
44,5,5,6
112,5,5,6
848,8,9,10
1002,5,5,6
143,5,5,6
93,5,5,6
836,8,9,10
68,5,5,6
167,8,9,10
63,5,5,6
73,3,3,3
850,8,9,10
154,3,3,3
92,5,5,6
77,3,3,3
142,5,5,6
148,2,2,2
759,5,5,6
1093,2,2,2
1094,2,2,2
111,5,5,6
897,5,5,6
386,2,2,2
712,3,3,3
847,8,9,10
91,5,5,6
144,5,5,6
138,2,2,2
107,5,5,6
118,5,5,6
681,8,9,10
1137,8,9,10
872,8,9,10
909,3,3,3
910,3,3,3
922,3,3,3
1028,5,5,6
1149,2,2,2
973,4,4,5
114,1,7,8
152,1,7,8
115,5,5,6
116,2,2,2
82,2,2,2
83,2,2,2
84,2,2,2
85,2,2,2
86,2,2,2
87,2,2,2
146,2,2,2
424,7,8,9
17,2,2,2
921,1,7,8
1030,4,4,4
746,1,1,1
992,4,4,4
1029,3,3,3
488,1,1,1
454,1,1,1
566,5,5,6
389,2,2,2
536,1,1,1
562,2,2,2
173,4,4,5
544,4,4,5
392,2,2,2
10,4,4,5
72,2,2,2
873,2,2,2
1198,4,4,4
81,1,7,8
175,4,4,4
172,4,4,5
22,4,4,5
38,4,4,4
835,4,4,5
760,4,4,4
622,4,4,5
70,4,4,4
179,4,4,4
1,4,4,5
170,4,4,5
23,3,3,3
537,6,6,7
901,6,6,7
53,4,4,4
695,6,6,7
715,4,4,5
28,4,4,4
699,1,1,1
183,6,6,7
709,4,4,4
90,2,2,2
100,2,2,2
102,2,2,2
104,2,2,2
105,2,2,2
131,2,2,2
135,2,2,2
1026,2,2,2
186,4,4,4
638,2,2,2
98,2,2,2
773,5,5,6
863,4,4,4
651,7,8,9
874,6,6,7
489,4,4,5
78,4,4,4
122,6,6,7
889,4,4,4
582,2,2,2
153,2,2,2
187,4,4,5
561,2,2,2
385,2,2,2
189,1,1,1
425,7,8,9
414,7,8,9
39,7,8,9
415,7,8,9
416,7,8,9
417,7,8,9
742,7,8,9
11,4,4,4
16,2,2,2
514,4,4,5
666,4,4,5
645,6,6,7
662,7,8,9
495,4,4,4
999A1,4,4,4
830,2,2,2
857,2,2,2
858,2,2,2
862,2,2,2
861,2,2,2
60,4,4,4
890,4,4,4
188,2,2,2
966,2,2,2
124,2,2,2
136,2,2,2
7,2,2,2
948,2,2,2
130,3,3,3
520,2,2,2
635,1,1,1
40,4,4,5
31,4,4,5
9,1,1,1
762,2,2,2
560,5,5,6
61,3,3,3
539,1,1,1
501,2,2,2
636,5,5,6
108,5,5,6
502,5,5,6
930,2,2,2
823,5,5,6
806,5,5,6
708,5,5,6
29,5,5,6
89,5,5,6
34,5,5,6
627,5,5,6
935,4,4,4
13,5,5,6
35,5,5,6
570,2,2,2
571,2,2,2
572,2,2,2
574,2,2,2
868,3,3,3
573,5,5,6
576,2,2,2
578,2,2,2
577,2,2,2
1152,8,9,10
1133,8,9,10
1105,5,5,6
1091,8,9,10
1113,8,9,10
1124,3,3,3
1161,8,9,10
1115,5,5,6
1129,5,5,6
41,6,6,7
19,6,6,7
59,6,6,7
530,6,6,7
133,1,7,8
71,3,3,3
30,6,6,7
182,6,6,7
181,6,6,7
180,6,6,7
58,6,6,7
1087,8,9,10
97,2,2,2
