solution,cluster,agreements,mean_silhouette,median_silhouette,negative_silhouette_share
k=8,1,37,-0.04456962870972371,-0.036724134187269206,0.6756756756756757
k=8,2,75,0.35555331072196417,0.3932331757763051,0
k=8,3,27,-0.07499410854015594,-0.0757012262389113,0.7407407407407407
k=8,4,57,-0.0156705713516988,0.005966926203738353,0.45614035087719296
k=8,5,61,0.06095426006624019,0.07270764399350947,0.26229508196721313
k=8,6,24,0.18984738281105445,0.1947216176759038,0.08333333333333333
k=8,7,19,0.29354060251392283,0.34548435641632746,0
k=8,8,21,0.10556429056282492,0.1263999672109251,0.09523809523809523
k=9,1,21,-0.011722495338779261,-8.552811164590377e-5,0.5238095238095238
k=9,2,75,0.35555331072196417,0.3932331757763051,0
k=9,3,27,-0.07690464353303901,-0.0757012262389113,0.7777777777777778
k=9,4,57,-0.022074260999215754,-0.013221085865723738,0.5614035087719298
k=9,5,61,0.06095426006624019,0.07270764399350947,0.26229508196721313
k=9,6,24,0.18984738281105445,0.1947216176759038,0.08333333333333333
k=9,7,16,0.07069600901656808,0.11788218228698442,0.3125
k=9,8,19,0.29354060251392283,0.34548435641632746,0
k=9,9,21,0.09982644353202906,0.1263999672109251,0.09523809523809523
k=10,1,21,-0.015467033548074834,-8.552811164590377e-5,0.5238095238095238
k=10,2,75,0.35555331072196417,0.3932331757763051,0
k=10,3,27,-0.07690464353303901,-0.0757012262389113,0.7777777777777778
k=10,4,30,-0.023466774259647764,-0.02785361736007528,0.6666666666666666
k=10,5,27,0.06033419338298373,0.07405301048149658,0.18518518518518517
k=10,6,61,0.06095426006624019,0.07270764399350947,0.26229508196721313
k=10,7,24,0.18984738281105445,0.1947216176759038,0.08333333333333333
k=10,8,16,0.060536312659951144,0.11788218228698442,0.3125
k=10,9,19,0.2741462235464132,0.3396680989207025,0
k=10,10,21,0.09982644353202906,0.1263999672109251,0.09523809523809523
