family_k9,family_k10,Agreement,RTA_ID,WB_ID,Date_EIF_G
4,4,ASEAN - Australia - New Zealand,437,183,2010-01-01
4,4,Australia - China,156,268,2015-12-20
4,4,Chile - Japan,3,129,2007-09-03
4,4,China - Costa Rica,677,210,2011-08-01
4,4,China - Georgia,991,292,2018-01-01
4,4,"China - Korea, Republic of",697,270,2015-12-20
4,4,China - Mauritius,1034,293,2021-01-01
4,4,Costa Rica - Colombia,839,277,2016-08-01
4,4,Costa Rica - Singapore,678,243,2013-07-01
4,4,"Hong Kong, China - Australia",1030,296,2020-01-17
4,4,"Hong Kong, China - Georgia",992,302,2019-02-13
4,4,India - United Arab Emirates,1198,394,2022-05-01
4,4,Japan - Australia,175,259,2015-01-15
4,4,Japan - Mexico,38,101,2005-04-01
4,4,Japan - Peru,760,209,2012-03-01
4,4,Japan - Singapore,70,75,2002-11-30
4,4,Japan - Switzerland,179,172,2009-09-01
4,4,"Korea, Republic of - Chile",53,88,2004-04-01
4,4,"Korea, Republic of - Singapore",28,110,2006-03-02
4,4,"Korea, Republic of - Viet Nam",709,271,2015-12-20
4,4,Malaysia - Australia,186,237,2013-01-01
4,4,Mexico - Central America,863,246,2012-09-01
4,4,New Zealand - Singapore,78,69,2001-01-01
4,4,Pacific Alliance,889,278,2016-05-01
4,4,Panama - Singapore,11,122,2006-07-24
4,4,Peru - Singapore,495,168,2009-08-01
4,4,RCEP (Regional Comprehensive Economic Partnership) Agreement,999A1,395,2022-01-01
4,4,Singapore - Australia,60,81,2003-07-28
4,4,Singapore - Chinese Taipei,890,247,2014-04-19
4,4,Türkiye - Singapore,935,301,2017-10-01
4,5,ASEAN - China,42,106,2005-01-01
4,5,ASEAN - India,438,187,2010-01-01
4,5,"ASEAN - Korea, Republic of",169,279,2010-01-01
4,5,Brunei Darussalam - Japan,567,143,2008-07-31
4,5,Central American Common Market (CACM),151,3,1961-06-04
4,5,Chile - Colombia,509,171,2009-05-08
4,5,China - New Zealand,664,165,2008-10-01
4,5,China - Singapore,496,162,2009-01-01
4,5,"Colombia - Northern Triangle (El Salvador, Guatemala, Honduras)",755,217,2009-11-12
4,5,Dominican Republic - Central America,764,205,2001-10-04
4,5,Eurasian Economic Union (EAEU) - Viet Nam,973,297,2016-10-05
4,5,India - Japan,173,199,2011-08-01
4,5,India - Malaysia,544,198,2011-07-01
4,5,India - Singapore,10,123,2005-08-01
4,5,Japan - Indonesia,172,139,2008-07-01
4,5,Japan - Malaysia,22,113,2006-07-13
4,5,Japan - Mongolia,835,273,2016-06-07
4,5,Japan - Philippines,622,156,2008-12-11
4,5,Japan - Thailand,1,131,2007-11-01
4,5,Japan - Viet Nam,170,174,2009-10-01
4,5,"Korea, Republic of - India",715,280,2010-01-01
4,5,New Zealand - Malaysia,489,206,2010-08-01
4,5,Pakistan - Malaysia,187,134,2008-01-01
4,5,Peru - Chile,514,204,2009-03-01
4,5,Peru - China,666,179,2010-03-01
4,5,Thailand - Australia,40,99,2005-01-01
4,5,Thailand - New Zealand,31,107,2005-07-01
